subjectID,time_start_time_trial,time_end_time_trial,workerID,totalSequence,opposite_ans,rotation,correct_ans,thirds,time_diff_time_trial,chart_type,log_error,log_opposite,judged_true,ans_percentage_diff,ans_trial,thirds_given,ans_trial_opposite,Given_Pie_Chart_1,Correct_Pie_Chart_1,Given_Pie_Chart_2,Correct_Pie_Chart_2,Pie_Chart_Multiple_Choice_1,Multiple_Choice_Pie_Order_1,Given_Donut_Chart_1,Correct_Donut_Chart_1,Given_Donut_Chart_2,Correct_Donut_Chart_2,Donut_Chart_Multiple_Choice_1,Given_Arc_Length_Intro_1,Correct_Arc_Length_Intro_1,Given_Arc_Length_Intro_2,Correct_Arc_Length_Intro_2,Given_Pie_Angle_Intro_1,Correct_Pie_Angle_Intro_1,Given_Pie_Angle_Intro_2,Correct_Pie_Angle_Intro_2,Given_Donut_Angle_Intro_1,Correct_Donut_Angle_Intro_1,Given_Donut_Angle_Intro_2,Correct_Donut_Angle_Intro_2,Given_Area_Intro_1,Correct_Area_Intro_1,Given_Area_Intro_2,Correct_Area_Intro_2,Given_Pie_Chart_3,Correct_Pie_Chart_3,Given_Pie_Chart_4,Correct_Pie_Chart_4,Pie_Chart_Multiplle_Choice_2,Multiple_Choice_Pie_Order_2,Given_Donut_Chart_3,Correct_Donut_Chart_3,Given_Donut_Chart_4,Correct_Donut_Chart_4,Donut_Chart_Multiple_Choice_2,age,browser,browserVersion,degree,monitor,screenWidth,screenHeight,sex,windowHeight,windowWidth
1,1440102680647,1440102684043,76F508,30,43,261.4467225,57,medium,3396,Pie Angle Chart,3.599912842,1.087462841,-12,-0.2105263158,45,medium,55,65,61,35,37,Area,2,90,91,10,9,Area,21,21,73,73,18,18,77,77,8,8,82,82,14,14,67,67,90,91,10,9,Area,1,80,61,30,37,Area,30-39,Chrome,44,Bachelors,15,1280,984,Female,923,1280
1,1440102709605,1440102713615,76F508,37,63,353.0972188,37,medium,4010,Pie Angle Chart,1.64385619,4.531381461,3,0.08108108108,40,medium,60,65,61,35,37,Area,2,90,91,10,9,Area,21,21,73,73,18,18,77,77,8,8,82,82,14,14,67,67,90,91,10,9,Area,1,80,61,30,37,Area,30-39,Chrome,44,Bachelors,15,1280,984,Female,923,1280
1,1440102650425,1440102655887,76F508,22,87,1.779241841,13,small,5462,Pie Angle Chart,2.832890014,6.068778278,7,0.5384615385,20,small,80,65,61,35,37,Area,2,90,91,10,9,Area,21,21,73,73,18,18,77,77,8,8,82,82,14,14,67,67,90,91,10,9,Area,1,80,61,30,37,Area,30-39,Chrome,44,Bachelors,15,1280,984,Female,923,1280
1,1440102705420,1440102709605,76F508,36,62,244.1892331,38,medium,4185,Pie Chart,1.087462841,1.087462841,2,0.05263157895,40,medium,40,65,61,35,37,Area,2,90,91,10,9,Area,21,21,73,73,18,18,77,77,8,8,82,82,14,14,67,67,90,91,10,9,Area,1,80,61,30,37,Area,30-39,Chrome,44,Bachelors,15,1280,984,Female,923,1280
1,1440102796133,1440102799968,76F508,60,38,178.2605669,62,medium,3835,Arc-Length Chart,1.087462841,1.087462841,-2,-0.03225806452,60,medium,60,65,61,35,37,Area,2,90,91,10,9,Area,21,21,73,73,18,18,77,77,8,8,82,82,14,14,67,67,90,91,10,9,Area,1,80,61,30,37,Area,30-39,Chrome,44,Bachelors,15,1280,984,Female,923,1280
1,1440102799968,1440102804034,76F508,61,34,327.666165,66,medium,4066,Area Chart,0.1699250014,0.1699250014,-1,-0.01515151515,65,medium,65,65,61,35,37,Area,2,90,91,10,9,Area,21,21,73,73,18,18,77,77,8,8,82,82,14,14,67,67,90,91,10,9,Area,1,80,61,30,37,Area,30-39,Chrome,44,Bachelors,15,1280,984,Female,923,1280
1,1440102804034,1440102807556,76F508,62,20,190.2713441,80,large,3522,Donut Angle Chart,-3,5.909893084,0,0,80,large,20,65,61,35,37,Area,2,90,91,10,9,Area,21,21,73,73,18,18,77,77,8,8,82,82,14,14,67,67,90,91,10,9,Area,1,80,61,30,37,Area,30-39,Chrome,44,Bachelors,15,1280,984,Female,923,1280
1,1440102807556,1440102811578,76F508,63,95,159.1700441,5,small,4022,Donut Chart,2.357552005,2.357552005,5,1,10,small,10,65,61,35,37,Area,2,90,91,10,9,Area,21,21,73,73,18,18,77,77,8,8,82,82,14,14,67,67,90,91,10,9,Area,1,80,61,30,37,Area,30-39,Chrome,44,Bachelors,15,1280,984,Female,923,1280
1,1440102811578,1440102815564,76F508,64,84,326.0409052,16,small,3986,Pie Angle Chart,6.002815016,2.044394119,64,4,80,large,20,65,61,35,37,Area,2,90,91,10,9,Area,21,21,73,73,18,18,77,77,8,8,82,82,14,14,67,67,90,91,10,9,Area,1,80,61,30,37,Area,30-39,Chrome,44,Bachelors,15,1280,984,Female,923,1280
1,1440102815564,,76F508,65,97,28.66256297,3,small,,Donut Chart,1.087462841,1.087462841,2,0.6666666667,5,small,5,65,61,35,37,Area,2,90,91,10,9,Area,21,21,73,73,18,18,77,77,8,8,82,82,14,14,67,67,90,91,10,9,Area,1,80,61,30,37,Area,30-39,Chrome,44,Bachelors,15,1280,984,Female,923,1280
1,1440102688127,1440102691511,76F508,32,45,341.8985417,55,medium,3384,Arc-Length Chart,2.357552005,2.357552005,5,0.09090909091,60,medium,60,65,61,35,37,Area,2,90,91,10,9,Area,21,21,73,73,18,18,77,77,8,8,82,82,14,14,67,67,90,91,10,9,Area,1,80,61,30,37,Area,30-39,Chrome,44,Bachelors,15,1280,984,Female,923,1280
1,1440102729269,1440102733926,76F508,42,85,97.73016972,15,small,4657,Donut Angle Chart,6.025139562,2.357552005,65,4.333333333,80,large,20,65,61,35,37,Area,2,90,91,10,9,Area,21,21,73,73,18,18,77,77,8,8,82,82,14,14,67,67,90,91,10,9,Area,1,80,61,30,37,Area,30-39,Chrome,44,Bachelors,15,1280,984,Female,923,1280
1,1440102659373,1440102662374,76F508,24,13,78.44930283,87,large,3001,Pie Angle Chart,6.068778278,2.832890014,-67,-0.7701149425,20,small,80,65,61,35,37,Area,2,90,91,10,9,Area,21,21,73,73,18,18,77,77,8,8,82,82,14,14,67,67,90,91,10,9,Area,1,80,61,30,37,Area,30-39,Chrome,44,Bachelors,15,1280,984,Female,923,1280
1,1440102662374,1440102666025,76F508,25,24,340.6316664,76,large,3651,Arc-Length Chart,2.044394119,2.044394119,4,0.05263157895,80,large,80,65,61,35,37,Area,2,90,91,10,9,Area,21,21,73,73,18,18,77,77,8,8,82,82,14,14,67,67,90,91,10,9,Area,1,80,61,30,37,Area,30-39,Chrome,44,Bachelors,15,1280,984,Female,923,1280
