subjectID,time_start_time_trial,time_end_time_trial,totalSequence,opposite_ans,rotation,correct_ans,thirds,time_diff_time_trial,log_error,inner_radius,judged_true,ans_percentage_diff,ans_trial,age,browser,browserVersion,comments,degree,monitor,participantCount,postId,screenHeight,screenWidth,sex,windowHeight,windowWidth
1,1441819822227,1441819828082,30,87,308.7231132,13,small,5855,1.087462841,0,2,0.1538461538,15,30-39,Chrome,45,The icons were very cool looking.  Thanks!,Bachelors,15,86,ied277qi,728,1366,Male,643,1366
1,1441819875866,1441819879249,42,62,128.1542196,38,medium,3383,1.087462841,30,2,0.05263157895,40,30-39,Chrome,45,The icons were very cool looking.  Thanks!,Bachelors,15,86,ied277qi,728,1366,Male,643,1366
1,1441819788447,1441819792023,22,64,228.7880235,36,medium,3576,1.64385619,0,-3,-0.08333333333,33,30-39,Chrome,45,The icons were very cool looking.  Thanks!,Bachelors,15,86,ied277qi,728,1366,Male,643,1366
1,1441819852306,1441819855774,36,59,314.1744401,41,medium,3468,3.022367813,150,-8,-0.1951219512,33,30-39,Chrome,45,The icons were very cool looking.  Thanks!,Bachelors,15,86,ied277qi,728,1366,Male,643,1366
1,1441819845663,1441819852306,35,14,267.4092346,86,large,6643,0.1699250014,30,-1,-0.01162790698,85,30-39,Chrome,45,The icons were very cool looking.  Thanks!,Bachelors,15,86,ied277qi,728,1366,Male,643,1366
1,1441819831695,1441819835054,32,97,18.56611694,3,small,3359,1.087462841,60,2,0.6666666667,5,30-39,Chrome,45,The icons were very cool looking.  Thanks!,Bachelors,15,86,ied277qi,728,1366,Male,643,1366
1,1441819795964,1441819802947,24,18,216.4793243,82,large,6983,1.087462841,0,-2,-0.0243902439,80,30-39,Chrome,45,The icons were very cool looking.  Thanks!,Bachelors,15,86,ied277qi,728,1366,Male,643,1366
1,1441819802947,1441819807519,25,84,323.4901213,16,small,4572,0.1699250014,30,-1,-0.0625,15,30-39,Chrome,45,The icons were very cool looking.  Thanks!,Bachelors,15,86,ied277qi,728,1366,Male,643,1366
1,1441819807520,1441819812162,26,62,169.0552655,38,medium,4642,1.087462841,120,2,0.05263157895,40,30-39,Chrome,45,The icons were very cool looking.  Thanks!,Bachelors,15,86,ied277qi,728,1366,Male,643,1366
1,1441819812162,1441819815097,27,34,338.7926084,66,medium,2935,-3,90,0,0,66,30-39,Chrome,45,The icons were very cool looking.  Thanks!,Bachelors,15,86,ied277qi,728,1366,Male,643,1366
1,1441819779280,1441819783622,20,22,293.2595908,78,large,4342,1.64385619,150,-3,-0.03846153846,75,30-39,Chrome,45,The icons were very cool looking.  Thanks!,Bachelors,15,86,ied277qi,728,1366,Male,643,1366
1,1441819783623,1441819788446,21,13,212.5150677,87,large,4823,1.64385619,150,3,0.03448275862,90,30-39,Chrome,45,The icons were very cool looking.  Thanks!,Bachelors,15,86,ied277qi,728,1366,Male,643,1366
1,1441819898721,1441819901800,48,33,343.4875058,67,large,3079,0.1699250014,90,-1,-0.01492537313,66,30-39,Chrome,45,The icons were very cool looking.  Thanks!,Bachelors,15,86,ied277qi,728,1366,Male,643,1366
1,1441819901801,1441819905171,49,8,313.1100253,92,large,3370,1.087462841,90,-2,-0.02173913043,90,30-39,Chrome,45,The icons were very cool looking.  Thanks!,Bachelors,15,86,ied277qi,728,1366,Male,643,1366
1,1441819891241,1441819895472,46,20,184.6013416,80,large,4231,-3,60,0,0,80,30-39,Chrome,45,The icons were very cool looking.  Thanks!,Bachelors,15,86,ied277qi,728,1366,Male,643,1366
1,1441819792023,1441819795954,23,51,168.23076,49,medium,3931,0.1699250014,150,1,0.02040816327,50,30-39,Chrome,45,The icons were very cool looking.  Thanks!,Bachelors,15,86,ied277qi,728,1366,Male,643,1366
1,1441819882631,1441819887748,44,22,194.077512,78,large,5117,1.64385619,120,-3,-0.03846153846,75,30-39,Chrome,45,The icons were very cool looking.  Thanks!,Bachelors,15,86,ied277qi,728,1366,Male,643,1366
1,1441819887749,1441819891240,45,27,326.3479083,73,large,3491,1.087462841,0,2,0.02739726027,75,30-39,Chrome,45,The icons were very cool looking.  Thanks!,Bachelors,15,86,ied277qi,728,1366,Male,643,1366
1,1441819815097,1441819818552,28,4,326.3175052,96,large,3455,0.1699250014,150,-1,-0.01041666667,95,30-39,Chrome,45,The icons were very cool looking.  Thanks!,Bachelors,15,86,ied277qi,728,1366,Male,643,1366
