ID	Type	Value	Estimate	Difference	PercentDifference	Confidence	ResponseTime
p01	bars	61	39	22	0.36065573	medium	35672
p01	bars	84	88	4	0.04761905	medium	13438
p01	bars	63	65	2	0.031746034	medium	6640
p01	bars	72	68	4	0.055555556	medium	15953
p01	bars	91	93	2	0.021978023	medium	7000
p01	bars	50	50	0	0.0	high	7360
p01	bars	46	46	0	0.0	medium	9531
p01	bars	80	80	0	0.0	medium	12609
p01	bars	66	67	1	0.015151516	medium	14250
p01	bars	89	90	1	0.011235955	medium	8907
p01	bars	74	80	6	0.08108108	medium	10562
p01	bars	17	15	2	0.11764706	medium	6953
p01	bars	75	69	6	0.08	medium	10594
p01	bars	61	56	5	0.08196721	medium	6609
p01	bars	26	25	1	0.03846154	medium	10859
p01	bars	90	93	3	0.033333335	medium	7579
p01	bars	61	60	1	0.016393442	medium	18937
p01	bars	34	33	1	0.029411765	medium	6109
p01	bars	43	41	2	0.046511628	medium	14938
p01	bars	50	48	2	0.04	medium	7703
p01	piechart	57	56	1	0.01754386	medium	13953
p01	piechart	47	48	1	0.021276595	medium	7438
p01	piechart	33	38	5	0.15151516	medium	10265
p01	piechart	31	37	6	0.19354838	medium	4125
p01	piechart	37	39	2	0.054054055	medium	7110
p01	piechart	72	71	1	0.013888889	medium	8875
p01	piechart	38	39	1	0.02631579	medium	12015
p01	piechart	41	40	1	0.024390243	medium	5172
p01	piechart	1	1	0	0.0	medium	7735
p01	piechart	57	55	2	0.03508772	medium	10640
p01	piechart	64	60	4	0.0625	medium	6875
p01	piechart	38	37	1	0.02631579	medium	6641
p01	piechart	52	52	0	0.0	medium	5109
p01	piechart	59	60	1	0.016949153	medium	9594
p01	piechart	62	63	1	0.016129032	medium	4938
p01	piechart	80	78	2	0.025	medium	11093
p01	piechart	90	84	6	0.06666667	medium	10250
p01	piechart	69	71	2	0.028985508	medium	8407
p01	piechart	74	74	0	0.0	medium	4093
p01	piechart	99	98	1	0.01010101	medium	6500
p01	donut	58	63	5	0.0862069	medium	9437
p01	donut	67	71	4	0.05970149	medium	16157
p01	donut	1	1	0	0.0	high	4546
p01	donut	36	33	3	0.083333336	medium	16219
p01	donut	70	67	3	0.042857144	medium	4609
p01	donut	1	1	0	0.0	high	5297
p01	donut	8	10	2	0.25	medium	7000
p01	donut	27	26	1	0.037037037	medium	3953
p01	donut	11	12	1	0.09090909	medium	5766
p01	donut	32	29	3	0.09375	medium	10437
p01	donut	52	51	1	0.01923077	high	6610
p01	donut	99	99	0	0.0	high	5922
p01	donut	81	80	1	0.012345679	medium	4781
p01	donut	28	28	0	0.0	medium	5640
p01	donut	21	20	1	0.04761905	medium	6313
p01	donut	24	24	0	0.0	high	4812
p01	donut	32	27	5	0.15625	medium	6157
p01	donut	39	36	3	0.07692308	medium	17890
p01	donut	8	7	1	0.125	medium	10125
p01	donut	44	42	2	0.045454547	medium	8766
p01	squarepie	57	57	0	0.0	high	19187
p01	squarepie	33	33	0	0.0	high	22016
p01	squarepie	37	37	0	0.0	high	6672
p01	squarepie	22	22	0	0.0	high	6343
p01	squarepie	68	68	0	0.0	high	9094
p01	squarepie	66	67	1	0.015151516	high	8953
p01	squarepie	49	49	0	0.0	high	8891
p01	squarepie	32	32	0	0.0	high	6031
p01	squarepie	70	70	0	0.0	medium	10766
p01	squarepie	61	61	0	0.0	high	6156
p01	squarepie	35	35	0	0.0	high	5641
p01	squarepie	77	77	0	0.0	high	10531
p01	squarepie	57	57	0	0.0	high	10328
p01	squarepie	48	48	0	0.0	high	6953
p01	squarepie	27	27	0	0.0	high	12828
p01	squarepie	33	33	0	0.0	high	7032
p01	squarepie	99	99	0	0.0	high	4265
p01	squarepie	90	90	0	0.0	high	3453
p01	squarepie	44	44	0	0.0	high	7203
p01	squarepie	40	40	0	0.0	high	6329
